Time(s),CH1(V),CH2(V)
-0.001172,1.305648,0.848139
-0.001165,1.305648,0.848139
-0.001159,1.305648,0.848139
-0.001152,1.305648,0.848139
-0.001146,1.305648,0.848139
-0.001139,1.305648,0.848139
-0.001133,1.305648,0.848139
-0.001126,1.305648,0.848139
-0.001120,1.305648,0.848139
-0.001113,1.305648,0.848139
-0.001107,1.305648,0.848139
-0.001100,1.305648,0.848139
-0.001094,1.305648,0.848139
-0.001087,1.305648,0.848139
-0.001081,1.305648,0.848139
-0.001074,1.305648,0.848139
-0.001068,1.305648,0.848139
-0.001061,1.305648,0.848139
-0.001055,1.305648,0.848139
-0.001048,1.305648,0.848139
-0.001042,1.305648,0.848139
-0.001035,1.305648,0.848139
-0.001029,1.305648,0.848139
-0.001022,1.305648,0.848139
-0.001016,1.305648,0.848139
-0.001009,1.305648,0.848139
-0.001003,1.305648,0.848139
-0.000996,1.305648,0.848139
-0.000990,1.305648,0.848139
-0.000983,1.305648,0.848139
-0.000977,1.305648,0.848139
-0.000970,1.305648,0.848139
-0.000964,1.305648,0.848139
-0.000957,1.305648,0.848139
-0.000951,1.305648,0.848139
-0.000944,1.305648,0.848139
-0.000938,1.305648,0.848139
-0.000931,1.305648,0.848139
-0.000924,1.305648,0.848139
-0.000918,1.305648,0.848139
-0.000911,1.305648,0.848139
-0.000905,1.305648,0.848139
-0.000898,1.305648,0.848139
-0.000892,1.305648,0.848139
-0.000885,1.305648,0.848139
-0.000879,1.305648,0.848139
-0.000872,1.305648,0.848139
-0.000866,1.305648,0.848139
-0.000859,1.305648,0.848139
-0.000853,1.305648,0.848139
-0.000846,1.305648,0.848139
-0.000840,1.305648,0.848139
-0.000833,1.305648,0.848139
-0.000827,1.305648,0.848139
-0.000820,1.305648,0.848139
-0.000814,1.305648,0.848139
-0.000807,1.305648,0.848139
-0.000801,1.305648,0.848139
-0.000794,1.305648,0.848139
-0.000788,1.305648,0.848139
-0.000781,1.305648,0.848139
-0.000775,1.305648,0.848139
-0.000768,1.305648,0.848139
-0.000762,1.305648,0.848139
-0.000755,1.305648,0.848139
-0.000749,1.305648,0.848139
-0.000742,1.305648,0.848139
-0.000736,1.305648,0.848139
-0.000729,1.305648,0.848139
-0.000723,1.305648,0.848139
-0.000716,1.305648,0.848139
-0.000710,1.305648,0.848139
-0.000703,1.305648,0.848139
-0.000697,1.305648,0.848139
-0.000690,1.305648,0.848139
-0.000684,1.305648,0.848139
-0.000677,1.305648,0.848139
-0.000671,1.305648,0.848139
-0.000664,1.305648,0.848139
-0.000658,1.305648,0.848139
-0.000651,1.305648,0.848139
-0.000645,1.305648,0.848139
-0.000638,1.305648,0.848139
-0.000632,1.305648,0.848139
-0.000625,1.305648,0.848139
-0.000618,1.305648,0.848139
-0.000612,1.305648,0.848139
-0.000605,1.305648,0.848139
-0.000599,1.305648,0.848139
-0.000592,1.305648,0.848139
-0.000586,1.305648,0.848139
-0.000579,1.305648,0.848139
-0.000573,1.305648,0.848139
-0.000566,1.305648,0.848139
-0.000560,1.305648,0.848139
-0.000553,1.305648,0.848139
-0.000547,1.305648,0.848139
-0.000540,1.305648,0.848139
-0.000534,1.305648,0.848139
-0.000527,1.305648,0.848139
-0.000521,1.305648,0.848139
-0.000514,1.305648,0.848139
-0.000508,1.305648,0.848139
-0.000501,1.305648,0.848139
-0.000495,1.305648,0.848139
-0.000488,1.305648,0.848139
-0.000482,1.305648,0.848139
-0.000475,1.305648,0.848139
-0.000469,1.305648,0.848139
-0.000462,1.305648,0.848139
-0.000456,1.305648,0.848139
-0.000449,1.305648,0.848139
-0.000443,1.305648,0.848139
-0.000436,1.305648,0.848139
-0.000430,1.305648,0.848139
-0.000423,1.305648,0.848139
-0.000417,1.305648,0.848139
-0.000410,1.305648,0.848139
-0.000404,1.305648,0.848139
-0.000397,1.305648,0.848139
-0.000391,1.305648,0.848139
-0.000384,1.305648,0.848139
-0.000378,1.305648,0.848139
-0.000371,1.305648,0.848139
-0.000365,1.305648,0.848139
-0.000358,1.305648,0.848139
-0.000352,1.305648,0.848139
-0.000345,1.305648,0.848139
-0.000339,1.305648,0.848139
-0.000332,1.305648,0.848139
-0.000326,1.305648,0.848139
-0.000319,1.305648,0.848139
-0.000313,1.305648,0.848139
-0.000306,1.305648,0.848139
-0.000299,1.305648,0.848139
-0.000293,1.305648,0.848139
-0.000286,1.305648,0.848139
-0.000280,1.305648,0.848139
-0.000273,1.305648,0.848139
-0.000267,1.305648,0.848139
-0.000260,1.305648,0.848139
-0.000254,1.305648,0.848139
-0.000247,1.305648,0.848139
-0.000241,1.305648,0.848139
-0.000234,1.305648,0.848139
-0.000228,1.305648,0.848139
-0.000221,1.305648,0.848139
-0.000215,1.305648,0.848139
-0.000208,1.305648,0.848139
-0.000202,1.305648,0.848139
-0.000195,1.305648,0.848139
-0.000189,1.305648,0.848139
-0.000182,1.305648,0.848139
-0.000176,1.305648,0.848139
-0.000169,1.305648,0.848139
-0.000163,1.305648,0.848139
-0.000156,1.305648,0.848139
-0.000150,1.305648,0.848139
-0.000143,1.305648,0.848139
-0.000137,1.305648,0.848139
-0.000130,1.305648,0.848139
-0.000124,1.305648,0.848139
-0.000117,1.305648,0.848139
-0.000111,1.305648,0.848139
-0.000104,1.305648,0.848139
-0.000098,1.305648,0.848139
-0.000091,1.305648,0.848139
-0.000085,1.305648,0.848139
-0.000078,1.305648,0.848139
-0.000072,1.305648,0.848139
-0.000065,1.305648,0.848139
-0.000059,1.305648,0.848139
-0.000052,1.305648,0.848139
-0.000046,1.305648,0.848139
-0.000039,1.305648,0.848139
-0.000033,1.305648,0.848139
-0.000026,1.305648,0.848139
-0.000020,1.305648,0.848139
-0.000013,1.305648,0.848139
-0.000007,1.316583,0.848943
-0.000000,1.360322,0.996883
0.000007,1.305648,0.960702
0.000013,1.305648,0.959898
0.000020,1.305648,0.959898
0.000026,1.305648,0.960702
0.000033,1.305648,0.960702
0.000039,1.305648,0.961506
0.000046,1.305648,0.961506
0.000052,1.305648,0.961506
0.000059,1.305648,0.961506
0.000065,1.305648,0.961506
0.000072,1.305648,0.961506
0.000078,1.305648,0.961506
0.000085,1.305648,0.961506
0.000091,1.305648,0.961506
0.000098,1.305648,0.962310
0.000104,1.305648,0.962310
0.000111,1.305648,0.962310
0.000117,1.305648,0.962310
0.000124,1.305648,0.963114
0.000130,1.305648,0.963114
0.000137,1.305648,0.963918
0.000143,1.305648,0.963918
0.000150,1.305648,0.963918
0.000156,1.305648,0.964722
0.000163,1.305648,0.964722
0.000169,1.305648,0.964722
0.000176,1.305648,0.965526
0.000182,1.305648,0.966330
0.000189,1.305648,0.967134
0.000195,1.305648,0.967134
0.000202,1.305648,0.967134
0.000208,1.305648,0.967134
0.000215,1.305648,0.967134
0.000221,1.305648,0.967134
0.000228,1.305648,0.967134
0.000234,1.311116,0.967938
0.000241,1.332985,0.967938
0.000247,1.360322,0.967938
0.000254,1.387658,0.967938
0.000260,1.409528,0.967938
0.000267,1.436864,0.968742
0.000273,1.458734,0.968742
0.000280,1.486070,0.968742
0.000286,1.507940,0.968742
0.000293,1.529809,0.968742
0.000299,1.557146,0.969546
0.000306,1.579015,0.969546
0.000312,1.600884,0.969546
0.000319,1.622754,0.969546
0.000326,1.644623,0.970351
0.000332,1.666492,0.969546
0.000339,1.688362,0.970351
0.000345,1.710231,0.970351
0.000352,1.726633,0.971155
0.000358,1.748502,0.971155
0.000365,1.770372,0.971155
0.000371,1.786774,0.971155
0.000378,1.808643,0.971155
0.000384,1.825045,0.971155
0.000391,1.841447,0.971155
0.000397,1.863317,0.971959
0.000404,1.879719,0.971959
0.000410,1.896121,0.971959
0.000417,1.912523,0.971959
0.000423,1.928925,0.971959
0.000430,1.945327,0.971959
0.000436,1.961729,0.972763
0.000443,1.978131,0.972763
0.000449,1.994533,0.972763
0.000456,2.000000,0.972763
0.000462,2.016402,0.972763
0.000469,2.027337,0.972763
0.000475,2.043739,0.972763
0.000482,2.060141,0.972763
0.000488,2.071075,0.973567
0.000495,2.082010,0.973567
0.000501,2.098412,0.973567
0.000508,2.109347,0.973567
0.000514,2.125749,0.974371
0.000521,2.131216,0.973567
0.000527,2.147618,0.973567
0.000534,2.158553,0.973567
0.000540,2.169487,0.974371
0.000547,2.180422,0.974371
0.000553,2.191357,0.974371
0.000560,2.202291,0.974371
0.000566,2.213226,0.974371
0.000573,2.224161,0.974371
0.000579,2.229628,0.974371
0.000586,2.240563,0.974371
0.000592,2.251498,0.974371
0.000599,2.262432,0.975175
0.000605,2.267900,0.975175
0.000612,2.278834,0.975175
0.000618,2.284302,0.974371
0.000625,2.295236,0.975175
0.000632,2.300704,0.975175
0.000638,2.311638,0.975175
0.000645,2.317106,0.975979
0.000651,2.328040,0.975979
0.000658,2.333508,0.975979
0.000664,2.344442,0.975979
0.000671,2.349910,0.975979
0.000677,2.355377,0.975979
0.000684,2.360844,0.975979
0.000690,2.371779,0.975979
0.000697,2.377246,0.976783
0.000703,2.382714,0.976783
0.000710,2.388181,0.976783
0.000716,2.393648,0.976783
0.000723,2.399116,0.976783
0.000729,2.404583,0.976783
0.000736,2.410050,0.976783
0.000742,2.415518,0.976783
0.000749,2.420985,0.977587
0.000755,2.426452,0.977587
0.000762,2.431920,0.977587
0.000768,2.437387,0.977587
0.000775,2.442854,0.977587
0.000781,2.442854,0.977587
0.000788,2.448322,0.977587
0.000794,2.453789,0.977587
0.000801,2.459256,0.977587
0.000807,2.459256,0.977587
0.000814,2.464724,0.977587
0.000820,2.470191,0.977587
0.000827,2.470191,0.977587
0.000833,2.475658,0.977587
0.000840,2.481126,0.977587
0.000846,2.481126,0.978391
0.000853,2.486593,0.978391
0.000859,2.486593,0.978391
0.000866,2.492060,0.978391
0.000872,2.492060,0.978391
0.000879,2.497528,0.978391
0.000885,2.497528,0.978391
0.000892,2.502995,0.978391
0.000898,2.502995,0.978391
0.000905,2.508462,0.978391
0.000911,2.508462,0.978391
0.000918,2.508462,0.978391
0.000924,2.513930,0.978391
0.000931,2.513930,0.978391
0.000937,2.519397,0.978391
0.000944,2.519397,0.978391
0.000951,2.519397,0.978391
0.000957,2.524864,0.978391
0.000964,2.524864,0.979195
0.000970,2.524864,0.979195
0.000977,2.524864,0.978391
0.000983,2.524864,0.978391
0.000990,2.530332,0.978391
0.000996,2.530332,0.979195
0.001003,2.530332,0.978391
0.001009,2.530332,0.979195
