Time(s),CH1(V),CH2(V)
-0.040938,4.532871,0.473197
-0.040931,4.532871,0.473197
-0.040924,4.532871,0.473197
-0.040918,4.532871,0.473197
-0.040911,4.532871,0.473197
-0.040905,4.532871,0.473197
-0.040898,4.532871,0.473197
-0.040892,4.532871,0.473197
-0.040885,4.532871,0.473197
-0.040879,4.532871,0.473197
-0.040872,4.532871,0.473197
-0.040866,4.532871,0.473197
-0.040859,4.532871,0.473197
-0.040853,4.532871,0.473197
-0.040846,4.532871,0.473197
-0.040840,4.532871,0.473197
-0.040833,4.532871,0.473197
-0.040827,4.532871,0.473197
-0.040820,4.532871,0.473197
-0.040814,4.532871,0.473197
-0.040807,4.532871,0.473197
-0.040801,4.532871,0.473197
-0.040794,4.532871,0.473197
-0.040788,4.532871,0.473197
-0.040781,4.532871,0.473197
-0.040775,4.532871,0.473197
-0.040768,4.532871,0.473197
-0.040762,4.532871,0.473197
-0.040755,4.532871,0.473197
-0.040749,4.532871,0.473197
-0.040742,4.532871,0.473197
-0.040736,4.532871,0.473197
-0.040729,4.532871,0.473197
-0.040723,4.532871,0.473197
-0.040716,4.532871,0.473197
-0.040710,4.532871,0.473197
-0.040703,4.532871,0.473197
-0.040697,4.532871,0.473197
-0.040690,4.532871,0.473197
-0.040684,4.532871,0.473197
-0.040677,4.532871,0.473197
-0.040671,4.532871,0.473197
-0.040664,4.532871,0.473197
-0.040658,4.532871,0.473197
-0.040651,4.532871,0.473197
-0.040645,4.532871,0.473197
-0.040638,4.532871,0.473197
-0.040632,4.532871,0.473197
-0.040625,4.532871,0.473197
-0.040618,4.532871,0.473197
-0.040612,4.532871,0.473197
-0.040605,4.532871,0.473197
-0.040599,4.532871,0.473197
-0.040592,4.532871,0.473197
-0.040586,4.532871,0.473197
-0.040579,4.532871,0.473197
-0.040573,4.532871,0.473197
-0.040566,4.532871,0.473197
-0.040560,4.532871,0.473197
-0.040553,4.532871,0.473197
-0.040547,4.532871,0.473197
-0.040540,4.532871,0.473197
-0.040534,4.532871,0.473197
-0.040527,4.532871,0.473197
-0.040521,4.532871,0.473197
-0.040514,4.532871,0.473197
-0.040508,4.532871,0.473197
-0.040501,4.532871,0.473197
-0.040495,4.532871,0.473197
-0.040488,4.532871,0.473197
-0.040482,4.532871,0.473197
-0.040475,4.532871,0.473197
-0.040469,4.532871,0.473197
-0.040462,4.532871,0.473197
-0.040456,4.532871,0.473197
-0.040449,4.532871,0.473197
-0.040443,4.532871,0.473197
-0.040436,4.532871,0.473197
-0.040430,4.532871,0.473197
-0.040423,4.532871,0.473197
-0.040417,4.532871,0.473197
-0.040410,4.532871,0.473197
-0.040404,4.532871,0.473197
-0.040397,4.532871,0.473197
-0.040391,4.532871,0.473197
-0.040384,4.532871,0.473197
-0.040378,4.532871,0.473197
-0.040371,4.532871,0.473197
-0.040365,4.532871,0.473197
-0.040358,4.532871,0.473197
-0.040352,4.532871,0.473197
-0.040345,4.532871,0.473197
-0.040339,4.532871,0.473197
-0.040332,4.532871,0.473197
-0.040326,4.532871,0.473197
-0.040319,4.532871,0.473197
-0.040313,4.532871,0.473197
-0.040306,4.532871,0.473197
-0.040299,4.532871,0.473197
-0.040293,4.532871,0.473197
-0.040286,4.532871,0.473197
-0.040280,4.532871,0.473197
-0.040273,4.532871,0.473197
-0.040267,4.532871,0.473197
-0.040260,4.532871,0.473197
-0.040254,4.532871,0.473197
-0.040247,4.532871,0.473197
-0.040241,4.532871,0.473197
-0.040234,4.532871,0.473197
-0.040228,4.532871,0.473197
-0.040221,4.532871,0.473197
-0.040215,4.532871,0.473197
-0.040208,4.532871,0.473197
-0.040202,4.532871,0.473197
-0.040195,4.532871,0.473197
-0.040189,4.532871,0.473197
-0.040182,4.532871,0.473197
-0.040176,4.532871,0.473197
-0.040169,4.532871,0.473197
-0.040163,4.532871,0.473197
-0.040156,4.532871,0.473197
-0.040150,4.532871,0.473197
-0.040143,4.532871,0.473197
-0.040137,4.532871,0.473197
-0.040130,4.532871,0.473197
-0.040124,4.532871,0.473197
-0.040117,4.532871,0.473197
-0.040111,4.532871,0.473197
-0.040104,4.532871,0.473197
-0.040098,4.532871,0.473197
-0.040091,4.532871,0.473197
-0.040085,4.532871,0.473197
-0.040078,4.532871,0.473197
-0.040072,4.532871,0.473197
-0.040065,4.532871,0.473197
-0.040059,4.532871,0.473197
-0.040052,4.532871,0.473197
-0.040046,4.532871,0.473197
-0.040039,4.532871,0.473197
-0.040033,4.532871,0.473197
-0.040026,4.532871,0.473197
-0.040020,4.532871,0.473197
-0.040013,4.532871,0.473197
-0.040007,4.532871,0.473197
-0.040000,4.532871,0.473197
-0.039993,4.532871,0.473197
-0.039987,4.532871,0.473197
-0.039980,4.532871,0.473197
-0.039974,4.532871,0.473197
-0.039967,4.532871,0.473197
-0.039961,4.532871,0.473197
-0.039954,4.532871,0.473197
-0.039948,4.532871,0.473197
-0.039941,4.532871,0.473197
-0.039935,4.532871,0.473197
-0.039928,4.532871,0.473197
-0.039922,4.532871,0.473197
-0.039915,4.532871,0.473197
-0.039909,4.532871,0.473197
-0.039902,4.532871,0.473197
-0.039896,4.532871,0.473197
-0.039889,4.532871,0.473197
-0.039883,4.532871,0.473197
-0.039876,4.532871,0.473197
-0.039870,4.532871,0.473197
-0.039863,4.532871,0.473197
-0.039857,4.532871,0.473197
-0.039850,4.532871,0.473197
-0.039844,4.532871,0.473197
-0.039837,4.532871,0.473197
-0.039831,4.532871,0.473197
-0.039824,4.532871,0.473197
-0.039818,4.532871,0.473197
-0.039811,4.532871,0.473197
-0.039805,4.532871,0.473197
-0.039798,4.532871,0.473197
-0.039792,4.532871,0.473197
-0.039785,4.532871,0.473197
-0.039779,4.532871,0.473197
-0.039772,4.532871,0.473197
-0.039766,4.532871,0.473197
-0.039759,4.532871,0.473197
-0.039753,4.532871,0.473197
-0.039746,4.532871,0.473197
-0.039740,4.532871,0.473197
-0.039733,4.532871,0.473197
-0.039727,4.532871,0.473197
-0.039720,4.532871,0.473197
-0.039714,4.532871,0.473197
-0.039707,4.532871,0.473197
-0.039701,4.532871,0.473197
-0.039694,4.532871,0.473197
-0.039688,4.532871,0.473197
-0.039681,4.532871,0.473197
-0.039674,4.532871,0.473197
-0.039668,4.532871,0.473197
-0.039661,4.532871,0.473197
-0.039655,4.532871,0.473197
-0.039648,4.532871,0.473197
-0.039642,4.532871,0.473197
-0.039635,4.532871,0.473197
-0.039629,4.532871,0.473197
-0.039622,4.532871,0.473197
-0.039616,4.532871,0.473197
-0.039609,4.532871,0.473197
-0.039603,4.532871,0.473197
-0.039596,4.532871,0.473197
-0.039590,4.532871,0.473197
-0.039583,4.532871,0.473197
-0.039577,4.532871,0.473197
-0.039570,4.532871,0.473197
-0.039564,4.532871,0.473197
-0.039557,4.532871,0.473197
-0.039551,4.532871,0.473197
-0.039544,4.532871,0.473197
-0.039538,4.532871,0.473197
-0.039531,4.532871,0.473197
-0.039525,4.532871,0.473197
-0.039518,4.532871,0.473197
-0.039512,4.532871,0.473197
-0.039505,4.532871,0.473197
-0.039499,4.532871,0.473197
-0.039492,4.532871,0.473197
-0.039486,4.532871,0.473197
-0.039479,4.532871,0.473197
-0.039473,4.532871,0.473197
-0.039466,4.532871,0.473197
-0.039460,4.532871,0.473197
-0.039453,4.532871,0.473197
-0.039447,4.532871,0.473197
-0.039440,4.532871,0.473197
-0.039434,4.532871,0.473197
-0.039427,4.532871,0.473197
-0.039421,4.532871,0.473197
-0.039414,4.532871,0.473197
-0.039408,4.532871,0.473197
-0.039401,4.532871,0.473197
-0.039395,4.532871,0.473197
-0.039388,4.532871,0.473197
-0.039382,4.532871,0.473197
-0.039375,4.532871,0.473197
-0.039368,4.532871,0.473197
-0.039362,4.532871,0.473197
-0.039355,4.532871,0.473197
-0.039349,4.532871,0.473197
-0.039342,4.532871,0.473197
-0.039336,4.532871,0.473197
-0.039329,4.532871,0.473197
-0.039323,4.532871,0.473197
-0.039316,4.532871,0.473197
-0.039310,4.532871,0.473197
-0.039303,4.532871,0.473197
-0.039297,4.532871,0.473197
-0.039290,4.532871,0.473197
-0.039284,4.532871,0.473197
-0.039277,4.532871,0.473197
-0.039271,4.532871,0.473197
-0.039264,4.532871,0.473197
-0.039258,4.532871,0.473197
-0.039251,4.532871,0.473197
-0.039245,4.532871,0.473197
-0.039238,4.532871,0.473197
-0.039232,4.532871,0.473197
-0.039225,4.532871,0.473197
-0.039219,4.532871,0.473197
-0.039212,4.532871,0.473197
-0.039206,4.532871,0.473197
-0.039199,4.532871,0.473197
-0.039193,4.532871,0.473197
-0.039186,4.532871,0.473197
-0.039180,4.532871,0.473197
-0.039173,4.532871,0.473197
-0.039167,4.532871,0.473197
-0.039160,4.532871,0.473197
-0.039154,4.532871,0.473197
-0.039147,4.532871,0.473197
-0.039141,4.532871,0.473197
-0.039134,4.532871,0.473197
-0.039128,4.532871,0.473197
-0.039121,4.532871,0.473197
-0.039115,4.532871,0.473197
-0.039108,4.532871,0.473197
-0.039102,4.532871,0.473197
-0.039095,4.532871,0.473197
-0.039089,4.532871,0.473197
-0.039082,4.532871,0.473197
-0.039076,4.532871,0.473197
-0.039069,4.532871,0.473197
-0.039063,4.532871,0.473197
-0.039056,4.532871,0.473197
-0.039049,4.532871,0.473197
-0.039043,4.532871,0.473197
-0.039036,4.532871,0.473197
-0.039030,4.532871,0.473197
-0.039023,4.532871,0.473197
-0.039017,4.532871,0.473197
-0.039010,4.532871,0.473197
-0.039004,4.532871,0.473197
-0.038997,4.532871,0.473197
-0.038991,4.532871,0.473197
-0.038984,4.532871,0.473197
-0.038978,4.532871,0.473197
-0.038971,4.532871,0.473197
-0.038965,4.532871,0.473197
-0.038958,4.532871,0.473197
-0.038952,4.532871,0.473197
-0.038945,4.532871,0.473197
-0.038939,4.532871,0.473197
-0.038932,4.532871,0.473197
-0.038926,4.532871,0.473197
-0.038919,4.532871,0.473197
-0.038913,4.532871,0.473197
-0.038906,4.532871,0.473197
-0.038900,4.532871,0.473197
-0.038893,4.532871,0.473197
-0.038887,4.532871,0.473197
-0.038880,4.532871,0.473197
-0.038874,4.532871,0.473197
-0.038867,4.532871,0.473197
-0.038861,4.532871,0.473197
-0.038854,4.532871,0.473197
-0.038848,4.532871,0.473197
-0.038841,4.532871,0.473197
-0.038835,4.532871,0.473197
-0.038828,4.532871,0.473197
-0.038822,4.532871,0.473197
-0.038815,4.532871,0.473197
-0.038809,4.532871,0.473197
-0.038802,4.532871,0.473197
-0.038796,4.532871,0.473197
-0.038789,4.532871,0.473197
-0.038783,4.532871,0.473197
-0.038776,4.532871,0.473197
