Time(s),CH1(V),CH2(V)
-0.040938,2.554368,0.660697
-0.040931,2.554368,0.660697
-0.040924,2.554368,0.660697
-0.040918,2.554368,0.660697
-0.040911,2.554368,0.660697
-0.040905,2.554368,0.660697
-0.040898,2.554368,0.660697
-0.040892,2.554368,0.660697
-0.040885,2.554368,0.660697
-0.040879,2.554368,0.660697
-0.040872,2.554368,0.660697
-0.040866,2.554368,0.660697
-0.040859,2.554368,0.660697
-0.040853,2.554368,0.660697
-0.040846,2.554368,0.660697
-0.040840,2.554368,0.660697
-0.040833,2.554368,0.660697
-0.040827,2.554368,0.660697
-0.040820,2.554368,0.660697
-0.040814,2.554368,0.660697
-0.040807,2.554368,0.660697
-0.040801,2.554368,0.660697
-0.040794,2.554368,0.660697
-0.040788,2.554368,0.660697
-0.040781,2.554368,0.660697
-0.040775,2.554368,0.660697
-0.040768,2.554368,0.660697
-0.040762,2.554368,0.660697
-0.040755,2.554368,0.660697
-0.040749,2.554368,0.660697
-0.040742,2.554368,0.660697
-0.040736,2.554368,0.660697
-0.040729,2.554368,0.660697
-0.040723,2.554368,0.660697
-0.040716,2.554368,0.660697
-0.040710,2.554368,0.660697
-0.040703,2.554368,0.660697
-0.040697,2.554368,0.660697
-0.040690,2.554368,0.660697
-0.040684,2.554368,0.660697
-0.040677,2.554368,0.660697
-0.040671,2.554368,0.660697
-0.040664,2.554368,0.660697
-0.040658,2.554368,0.660697
-0.040651,2.554368,0.660697
-0.040645,2.554368,0.660697
-0.040638,2.554368,0.660697
-0.040632,2.554368,0.660697
-0.040625,2.554368,0.660697
-0.040618,2.554368,0.660697
-0.040612,2.554368,0.660697
-0.040605,2.554368,0.660697
-0.040599,2.554368,0.660697
-0.040592,2.554368,0.660697
-0.040586,2.554368,0.660697
-0.040579,2.554368,0.660697
-0.040573,2.554368,0.660697
-0.040566,2.554368,0.660697
-0.040560,2.554368,0.660697
-0.040553,2.554368,0.660697
-0.040547,2.554368,0.660697
-0.040540,2.554368,0.660697
-0.040534,2.554368,0.660697
-0.040527,2.554368,0.660697
-0.040521,2.554368,0.660697
-0.040514,2.554368,0.660697
-0.040508,2.554368,0.660697
-0.040501,2.554368,0.660697
-0.040495,2.554368,0.660697
-0.040488,2.554368,0.660697
-0.040482,2.554368,0.660697
-0.040475,2.554368,0.660697
-0.040469,2.554368,0.660697
-0.040462,2.554368,0.660697
-0.040456,2.554368,0.660697
-0.040449,2.554368,0.660697
-0.040443,2.554368,0.660697
-0.040436,2.554368,0.660697
-0.040430,2.554368,0.660697
-0.040423,2.554368,0.660697
-0.040417,2.554368,0.660697
-0.040410,2.554368,0.660697
-0.040404,2.554368,0.660697
-0.040397,2.554368,0.660697
-0.040391,2.554368,0.660697
-0.040384,2.554368,0.660697
-0.040378,2.554368,0.660697
-0.040371,2.554368,0.660697
-0.040365,2.554368,0.660697
-0.040358,2.554368,0.660697
-0.040352,2.554368,0.660697
-0.040345,2.554368,0.660697
-0.040339,2.554368,0.660697
-0.040332,2.554368,0.660697
-0.040326,2.554368,0.660697
-0.040319,2.554368,0.660697
-0.040313,2.554368,0.660697
-0.040306,2.554368,0.660697
-0.040299,2.554368,0.660697
-0.040293,2.554368,0.660697
-0.040286,2.554368,0.660697
-0.040280,2.554368,0.660697
-0.040273,2.554368,0.660697
-0.040267,2.554368,0.660697
-0.040260,2.554368,0.660697
-0.040254,2.554368,0.660697
-0.040247,2.554368,0.660697
-0.040241,2.554368,0.660697
-0.040234,2.554368,0.660697
-0.040228,2.554368,0.660697
-0.040221,2.554368,0.660697
-0.040215,2.554368,0.660697
-0.040208,2.554368,0.660697
-0.040202,2.554368,0.660697
-0.040195,2.554368,0.660697
-0.040189,2.554368,0.660697
-0.040182,2.554368,0.660697
-0.040176,2.554368,0.660697
-0.040169,2.554368,0.660697
-0.040163,2.554368,0.660697
-0.040156,2.554368,0.660697
-0.040150,2.554368,0.660697
-0.040143,2.554368,0.660697
-0.040137,2.554368,0.660697
-0.040130,2.554368,0.660697
-0.040124,2.554368,0.660697
-0.040117,2.554368,0.660697
-0.040111,2.554368,0.660697
-0.040104,2.554368,0.660697
-0.040098,2.554368,0.660697
-0.040091,2.554368,0.660697
-0.040085,2.554368,0.660697
-0.040078,2.554368,0.660697
-0.040072,2.554368,0.660697
-0.040065,2.554368,0.660697
-0.040059,2.554368,0.660697
-0.040052,2.554368,0.660697
-0.040046,2.554368,0.660697
-0.040039,2.554368,0.660697
-0.040033,2.554368,0.660697
-0.040026,2.554368,0.660697
-0.040020,2.554368,0.660697
-0.040013,2.554368,0.660697
-0.040007,2.554368,0.660697
-0.040000,2.554368,0.660697
-0.039993,2.554368,0.660697
-0.039987,2.554368,0.660697
-0.039980,2.554368,0.660697
-0.039974,2.554368,0.660697
-0.039967,2.554368,0.660697
-0.039961,2.554368,0.660697
-0.039954,2.554368,0.660697
-0.039948,2.554368,0.660697
-0.039941,2.554368,0.660697
-0.039935,2.554368,0.660697
-0.039928,2.554368,0.660697
-0.039922,2.554368,0.660697
-0.039915,2.554368,0.660697
-0.039909,2.554368,0.660697
-0.039902,2.554368,0.660697
-0.039896,2.554368,0.660697
-0.039889,2.554368,0.660697
-0.039883,2.554368,0.660697
-0.039876,2.554368,0.660697
-0.039870,2.554368,0.660697
-0.039863,2.554368,0.660697
-0.039857,2.554368,0.660697
-0.039850,2.554368,0.660697
-0.039844,2.554368,0.660697
-0.039837,2.554368,0.660697
-0.039831,2.554368,0.660697
-0.039824,2.554368,0.660697
-0.039818,2.554368,0.660697
-0.039811,2.554368,0.660697
-0.039805,2.554368,0.660697
-0.039798,2.554368,0.660697
-0.039792,2.554368,0.660697
-0.039785,2.554368,0.660697
-0.039779,2.554368,0.660697
-0.039772,2.554368,0.660697
-0.039766,2.554368,0.660697
-0.039759,2.554368,0.660697
-0.039753,2.554368,0.660697
-0.039746,2.554368,0.660697
-0.039740,2.554368,0.660697
-0.039733,2.554368,0.660697
-0.039727,2.554368,0.660697
-0.039720,2.554368,0.660697
-0.039714,2.554368,0.660697
-0.039707,2.554368,0.660697
-0.039701,2.554368,0.660697
-0.039694,2.554368,0.660697
-0.039688,2.554368,0.660697
-0.039681,2.554368,0.660697
-0.039674,2.554368,0.660697
-0.039668,2.554368,0.660697
-0.039661,2.554368,0.660697
-0.039655,2.554368,0.660697
-0.039648,2.554368,0.660697
-0.039642,2.554368,0.660697
-0.039635,2.554368,0.660697
-0.039629,2.554368,0.660697
-0.039622,2.554368,0.660697
-0.039616,2.554368,0.660697
-0.039609,2.554368,0.660697
-0.039603,2.554368,0.660697
-0.039596,2.554368,0.660697
-0.039590,2.554368,0.660697
-0.039583,2.554368,0.660697
-0.039577,2.554368,0.660697
-0.039570,2.554368,0.660697
-0.039564,2.554368,0.660697
-0.039557,2.554368,0.660697
-0.039551,2.554368,0.660697
-0.039544,2.554368,0.660697
-0.039538,2.554368,0.660697
-0.039531,2.554368,0.660697
-0.039525,2.554368,0.660697
-0.039518,2.554368,0.660697
-0.039512,2.554368,0.660697
-0.039505,2.554368,0.660697
-0.039499,2.554368,0.660697
-0.039492,2.554368,0.660697
-0.039486,2.554368,0.660697
-0.039479,2.554368,0.660697
-0.039473,2.554368,0.660697
-0.039466,2.554368,0.660697
-0.039460,2.554368,0.660697
-0.039453,2.554368,0.660697
-0.039447,2.554368,0.660697
-0.039440,2.554368,0.660697
-0.039434,2.554368,0.660697
-0.039427,2.554368,0.660697
-0.039421,2.554368,0.660697
-0.039414,2.554368,0.660697
-0.039408,2.554368,0.660697
-0.039401,2.554368,0.660697
-0.039395,2.554368,0.660697
-0.039388,2.554368,0.660697
-0.039382,2.554368,0.660697
-0.039375,2.554368,0.660697
-0.039368,2.554368,0.660697
-0.039362,2.554368,0.660697
-0.039355,2.554368,0.660697
-0.039349,2.554368,0.660697
-0.039342,2.554368,0.660697
-0.039336,2.554368,0.660697
-0.039329,2.554368,0.660697
-0.039323,2.554368,0.660697
-0.039316,2.554368,0.660697
-0.039310,2.554368,0.660697
-0.039303,2.554368,0.660697
-0.039297,2.554368,0.660697
-0.039290,2.554368,0.660697
-0.039284,2.554368,0.660697
-0.039277,2.554368,0.660697
-0.039271,2.554368,0.660697
-0.039264,2.554368,0.660697
-0.039258,2.554368,0.660697
