in s,C1 in V,C2 in V
-3.7268932E-02,2.1380175E+00,6.25003815E-01
-3.7268556E-02,2.1380175E+00,6.25003815E-01
-3.7268180E-02,2.1380175E+00,6.25003815E-01
-3.7267804E-02,2.1380175E+00,6.25003815E-01
-3.7267428E-02,2.1380175E+00,6.25003815E-01
-3.7267052E-02,2.1380175E+00,6.25003815E-01
-3.7266676E-02,2.1380175E+00,6.25003815E-01
-3.7266300E-02,2.1380175E+00,6.25003815E-01
-3.7265924E-02,2.1380175E+00,6.25003815E-01
-3.7265548E-02,2.1380175E+00,6.25003815E-01
-3.7265172E-02,2.1380175E+00,6.25003815E-01
-3.7264796E-02,2.1380175E+00,6.25003815E-01
-3.7264420E-02,2.1380175E+00,6.25003815E-01
-3.7264044E-02,2.1380175E+00,6.25003815E-01
-3.7263668E-02,2.1380175E+00,6.25003815E-01
-3.7263292E-02,2.1380175E+00,6.25003815E-01
-3.7262916E-02,2.1380175E+00,6.25003815E-01
-3.7262540E-02,2.1380175E+00,6.25003815E-01
-3.7262164E-02,2.1380175E+00,6.25003815E-01
-3.7261788E-02,2.1380175E+00,6.25003815E-01
-3.7261412E-02,2.1380175E+00,6.25003815E-01
-3.7261036E-02,2.1380175E+00,6.25003815E-01
-3.7260660E-02,2.1380175E+00,6.25003815E-01
-3.7260284E-02,2.1380175E+00,6.25003815E-01
-3.7259908E-02,2.1380175E+00,6.25003815E-01
-3.7259532E-02,2.1380175E+00,6.25003815E-01
-3.7259156E-02,2.1380175E+00,6.25003815E-01
-3.7258780E-02,2.1380175E+00,6.25003815E-01
-3.7258404E-02,2.1380175E+00,6.25003815E-01
-3.7258028E-02,2.1380175E+00,6.25003815E-01
-3.7257652E-02,2.1380175E+00,6.25003815E-01
-3.7257276E-02,2.1380175E+00,6.25003815E-01
-3.7256900E-02,2.1380175E+00,6.25003815E-01
-3.7256524E-02,2.1380175E+00,6.25003815E-01
-3.7256148E-02,2.1380175E+00,6.25003815E-01
-3.7255772E-02,2.1380175E+00,6.25003815E-01
-3.7255396E-02,2.1380175E+00,6.25003815E-01
-3.7255020E-02,2.1380175E+00,6.25003815E-01
-3.7254644E-02,2.1380175E+00,6.25003815E-01
-3.7254268E-02,2.1380175E+00,6.25003815E-01
-3.7253892E-02,2.1380175E+00,6.25003815E-01
-3.7253516E-02,2.1380175E+00,6.25003815E-01
-3.7253140E-02,2.1380175E+00,6.25003815E-01
-3.7252764E-02,2.1380175E+00,6.25003815E-01
-3.7252388E-02,2.1380175E+00,6.25003815E-01
-3.7252012E-02,2.1380175E+00,6.25003815E-01
-3.7251636E-02,2.1380175E+00,6.25003815E-01
-3.7251260E-02,2.1380175E+00,6.25003815E-01
-3.7250884E-02,2.1380175E+00,6.25003815E-01
-3.7250508E-02,2.1380175E+00,6.25003815E-01
-3.7250132E-02,2.1380175E+00,6.25003815E-01
-3.7249756E-02,2.1380175E+00,6.25003815E-01
